1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,1,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,2,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,3,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,4,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,5,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,6,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%,7,Res,W,L,K,D,TK,Min,Sec,DmgG,DmgR,PkD,Hit%
Bunny,W,1,,2,3,0,4,28,324,378,148,32,Bunny,W,1,,4,2,1,3,37,442,487,179,28,Bunny,L,,1,0,3,0,2,35,143,309,126,22,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,W,1,,3,4,1,5,82,639,626,152,39,Bunny,L,,1,5,6,2,5,59,597,740,152,27,Bunny,L,,,3,3,0,3,5,281,381,152,29,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,,Bunny,,,,,,,,,,,,
AethrAstra,L,,,3,3,1,4,0,353,426,148,39,AethrAstra,L,,1,0,3,0,3,10,347,421,164,44,AethrAstra,W,1,,4,2,1,2,20,543,273,105,53,AethrAstra,L,,1,1,2,1,2,57,286,293,152,46,AethrAstra,L,,1,3,3,0,4,3,407,335,134,42,AethrAstra,W,1,,3,1,1,3,17,258,117,64,32,AethrAstra,W,1,,10,8,1,10,79,1218,1359,159,31,AethrAstra,L,,1,0,5,1,7,105,732,546,149,31,AethrAstra,W,1,,5,5,1,5,76,456,692,179,27,AethrAstra,L,,1,4,6,2,10,80,1198,1032,191,36,AethrAstra,W,1,,6,9,3,10,95,1148,1065,154,35,AethrAstra,W,1,,2,7,0,10,113,785,973,153,34,AethrAstra,,,,,,,,,,,,,AethrAstra,W,1,,2,2,0,4,15,494,261,136,41
djSucre,W,1,,3,2,0,2,21,340,245,127,53,djSucre,W,1,,6,2,1,3,10,426,418,156,33,djSucre,W,1,,1,3,1,2,7,313,311,153,53,djSucre,L,,1,1,3,0,2,20,222,301,128,41,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,,,,,,,,,,,,,djSucre,W,1,,2,2,0,4,13,320,333,122,35,djSucre,W,1,,4,2,0,4,34,496,324,131,49
SnowJP,L,,,2,3,1,2,13,222,362,140,17,SnowJP,L,,1,1,3,1,2,5,257,288,130,27,SnowJP,L,,1,3,3,0,2,49,283,390,154,24,SnowJP,L,,1,3,3,0,2,50,250,435,233,19,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,,SnowJP,,,,,,,,,,,,
CrunX,L,,,3,3,2,2,21,276,274,134,24,CrunX,W,1,,2,2,0,2,38,402,282,132,49,CrunX,L,,1,2,3,1,2,52,278,258,104,40,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,,CrunX,,,,,,,,,,,,
7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,L,,1,0,3,1,1,37,140,166,79,51,7Lumens,L,,1,0,3,0,1,42,48,205,127,28,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,,7Lumens,,,,,,,,,,,,
NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,L,,1,1,3,0,1,37,73,260,148,26,NONOY,L,,1,1,3,1,2,42,204,289,103,31,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,,NONOY,,,,,,,,,,,,
Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,W,1,,1,2,0,4,19,423,362,132,34,Animefreak,W,1,,2,2,1,5,15,329,430,182,28,Animefreak,L,,1,1,3,0,1,59,98,396,172,30,Animefreak,L,,1,4,3,1,4,9,402,374,148,41,Animefreak,L,,,2,3,0,4,34,245,478,187,33,Animefreak,L,,1,0,3,0,2,31,236,311,136,48,Animefreak,,,,,,,,,,,,,Animefreak,,,,,,,,,,,,,Animefreak,L,,1,2,3,0,3,2,245,410,159,40,Animefreak,,,,,,,,,,,,
Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,,Virgil,L,,1,2,3,0,3,5,172,415,171,20,Virgil,L,,1,0,3,1,2,40,164,270,116,37,Virgil,L,,1,3,3,0,2,56,358,369,162,38,Virgil,W,1,,2,2,0,3,52,412,260,120,43,Virgil,W,1,,3,2,1,3,12,432,315,132,46,Virgil,W,1,,1,3,0,3,31,299,449,127,36,Virgil,L,,1,3,3,0,2,47,284,317,129,42,Virgil,W,1,,3,3,0,2,50,306,319,127,39,Virgil,,,,,,,,,,,,,Virgil,,,,,,,,,,,,
Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,W,1,,3,2,1,3,57,343,360,142,31,Meta,W,1,,2,3,0,2,13,183,335,136,21,Meta,L,,1,0,3,0,2,5,252,362,159,34,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,,Meta,,,,,,,,,,,,
Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,W,1,,2,3,1,2,34,181,317,113,25,Iora,W,1,,2,2,1,2,56,352,410,144,38,Iora,L,,,0,3,1,3,22,176,417,170,21,Iora,L,,1,1,3,2,3,4,359,395,138,42,Iora,,,,,,,,,,,,,Iora,,,,,,,,,,,,,Iora,W,1,,1,3,1,3,38,246,423,163,45,Iora,W,1,,0,3,0,2,59,237,335,128,25
CoolsRoy,Lt,1,1,,,,,,,,,,CoolsRoy,Lt,1,1,,,,,,,,,,CoolsRoy,L,,1,2,4,0,3,36,335,457,139,32,CoolsRoy,W,1,,2,1,0,3,4,320,262,176,40,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,No,,,,,,,,,,,,CoolsRoy,,,,,,,,,,,,,CoolsRoy,,,,,,,,,,,,
