1,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,10,Rnk,Pts,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Pariah,Lt,3,,,,,,,,,,Pariah,4,1,0,3,0,4,8,284,404,173,24,Pariah,4,1,3,3,0,3,14,268,369,143,26,Pariah,No,0,,,,,,,,,,Pariah,4,1,3,3,0,2,41,332,352,131,23,Pariah,4,1,1,3,0,3,26,275,344,124,25,Pariah,4,,2,3,0,2,46,224,457,176,25,Pariah,2,3,2,3,0,5,36,460,402,184,32,Pariah,4,1,1,3,0,2,42,233,463,173,26,Pariah,No,0,,,,,,,,,
PawnStar,Lt,3,,,,,,,,,,PawnStar,3,2,1,3,0,4,45,289,292,110,32,PawnStar,3,2,3,3,0,3,1,250,347,141,37,PawnStar,3,2,0,3,0,3,31,249,281,110,31,PawnStar,4,1,0,3,0,2,11,154,233,106,41,PawnStar,3,2,3,3,0,4,20,291,399,202,34,PawnStar,3,,3,3,0,2,58,289,374,132,40,PawnStar,4,1,0,3,0,2,20,124,341,135,35,PawnStar,2,3,2,3,0,3,16,209,328,138,32,PawnStar,3,2,2,3,0,4,21,191,399,130,33
PizzaThief,2,3,2,3,0,4,10,361,332,135,32,PizzaThief,3,2,0,3,0,3,36,351,349,138,23,PizzaThief,3,2,5,3,0,4,6,369,349,123,31,PizzaThief,2,3,6,3,0,2,48,496,248,127,33,PizzaThief,1,4,4,1,0,4,8,453,250,116,27,PizzaThief,3,2,2,3,0,4,28,273,339,166,25,PizzaThief,3,,0,3,0,5,11,200,416,151,32,PizzaThief,4,1,2,3,0,3,35,237,249,129,37,PizzaThief,2,3,2,3,0,3,53,387,339,143,37,PizzaThief,1,4,3,2,0,6,0,529,315,100,35
Precision,1,4,6,1,0,3,20,467,231,134,50,Precision,1,4,7,1,0,3,46,483,210,147,39,Precision,1,4,3,1,0,3,29,450,172,161,46,Precision,1,4,4,2,0,4,59,582,420,183,43,Precision,2,3,2,3,0,3,44,402,340,133,41,Precision,1,4,7,2,0,5,40,610,354,142,34,Precision,2,,4,3,0,5,56,333,375,145,29,Precision,1,4,5,2,0,4,36,486,268,141,41,Precision,1,4,6,2,0,3,54,621,301,153,47,Precision,1,4,3,2,0,7,0,578,382,155,43
RaptorKing,4,1,1,3,0,1,23,143,268,108,22,RaptorKing,4,1,1,3,0,2,33,271,399,149,30,RaptorKing,4,1,1,3,0,1,4,157,210,102,24,RaptorKing,No,0,,,,,,,,,,RaptorKing,4,1,0,3,0,1,38,122,283,113,17,RaptorKing,No,0,,,,,,,,,,RaptorKing,4,,3,3,0,2,29,310,222,129,20,RaptorKing,No,0,,,,,,,,,,RaptorKing,4,1,0,2,1,1,24,113,173,93,16,RaptorKing,1,4,3,2,0,2,55,313,399,232,28
Rini,4,1,0,3,0,1,47,197,272,140,50,Rini,Lt,3,,,,,,,,,,Rini,No,0,,,,,,,,,,Rini,No,0,,,,,,,,,,Rini,4,1,0,3,0,2,53,160,383,151,31,Rini,4,1,1,3,0,3,24,313,395,150,33,Rini,No,,,,,,,,,,,Rini,3,2,2,3,0,3,39,191,348,121,28,Rini,3,2,2,3,0,3,17,352,353,152,40,Rini,No,0,,,,,,,,,
Sheikmastr,3,2,3,3,0,1,55,256,240,91,40,Sheikmastr,2,3,3,3,0,3,33,304,348,127,36,Sheikmastr,1,4,4,2,0,4,34,468,324,125,40,Sheikmastr,1,4,6,1,0,3,47,381,265,142,44,Sheikmastr,3,2,0,3,0,3,49,79,241,133,16,Sheikmastr,2,3,2,3,0,6,33,416,314,115,29,Sheikmastr,2,,6,3,0,4,55,391,388,152,19,Sheikmastr,4,1,3,3,0,3,4,320,262,152,37,Sheikmastr,3,2,1,3,0,4,17,347,355,117,35,Sheikmastr,3,2,4,3,0,5,14,447,466,153,33
StmpkBunny,2,3,5,3,0,3,32,310,360,133,24,StmpkBunny,3,2,3,3,0,2,45,383,297,159,31,StmpkBunny,4,1,1,3,0,3,24,251,429,151,21,StmpkBunny,2,3,3,3,0,3,58,256,328,126,27,StmpkBunny,4,1,2,3,0,3,7,246,437,174,42,StmpkBunny,1,4,6,2,0,4,12,347,455,225,35,StmpkBunny,3,2,2,3,0,2,42,270,301,107,33,StmpkBunny,2,3,3,3,0,3,43,209,444,194,27,StmpkBunny,3,2,2,3,0,6,8,471,411,148,22,StmpkBunny,3,2,1,3,0,2,43,150,367,163,36
TaiyoEXE,4,1,0,3,0,1,58,132,275,117,29,TaiyoEXE,3,2,2,3,0,2,55,311,318,115,40,TaiyoEXE,1,4,2,2,0,7,0,632,412,178,41,TaiyoEXE,1,4,6,2,0,3,58,461,350,158,34,TaiyoEXE,3,2,1,3,0,3,14,368,299,107,38,TaiyoEXE,3,2,1,3,0,4,20,249,404,160,28,TaiyoEXE,4,1,1,3,0,3,23,171,350,147,21,TaiyoEXE,2,3,5,3,0,6,20,458,374,167,40,TaiyoEXE,2,3,2,3,0,3,24,193,376,168,28,TaiyoEXE,4,1,1,3,0,2,10,265,267,132,32
Us8,3,2,2,3,0,2,49,204,330,132,29,Us8,1,4,1,2,0,3,2,217,333,196,35,Us8,2,3,4,3,0,4,33,275,422,198,33,Us8,3,2,2,3,0,4,13,254,403,163,29,Us8,2,3,4,3,0,2,41,244,316,117,33,Us8,1,4,5,2,0,4,6,395,332,133,38,Us8,1,4,6,2,0,5,52,358,388,198,34,Us8,1,4,5,1,0,3,43,379,247,146,23,Us8,1,4,3,2,0,3,35,292,241,93,30,Us8,2,3,1,3,0,5,2,331,441,139,30
Zenith,4,1,1,3,0,2,2,177,266,114,31,Zenith,No,0,,,,,,,,,,Zenith,2,3,2,2,0,7,0,328,312,127,33,Zenith,2,3,1,3,0,5,7,191,402,197,30,Zenith,No,0,,,,,,,,,,Zenith,No,0,,,,,,,,,,Zenith,2,3,1,3,0,2,43,186,260,131,47,Zenith,4,1,2,3,0,3,24,178,401,164,25,Zenith,No,0,,,,,,,,,,Zenith,2,3,2,3,0,5,2,305,351,125,36
Zero,2,3,2,3,0,5,15,337,394,161,33,Zero,2,3,2,3,0,5,5,293,362,162,31,Zero,1,4,2,2,0,5,17,303,300,124,35,Zero,1,4,3,1,0,5,28,455,268,152,40,Zero,2,3,2,3,0,4,25,308,321,128,48,Zero,2,3,0,3,0,5,40,181,379,156,24,Zero,2,3,3,3,0,5,52,373,384,169,30,Zero,1,4,2,2,0,5,46,326,377,165,38,Zero,2,3,2,3,0,5,27,322,339,143,28,Zero,2,3,1,2,0,7,0,329,350,201,38
AnimeFreak,4,1,0,3,0,2,6,167,249,124,25,AnimeFreak,2,3,2,3,0,4,45,427,453,168,44,AnimeFreak,2,3,4,3,0,4,11,405,269,120,38,AnimeFreak,4,1,0,3,0,1,13,93,168,111,39,AnimeFreak,2,3,4,3,0,5,4,527,391,181,38,AnimeFreak,1,4,4,2,0,2,52,262,269,134,35,AnimeFreak,4,1,1,3,0,2,11,319,246,147,55,AnimeFreak,3,2,2,3,0,3,45,318,413,158,72,AnimeFreak,3,2,2,3,0,3,30,383,364,156,69,AnimeFreak,2,3,4,3,0,5,8,445,418,154,40
Anonano,1,4,6,2,0,3,43,578,236,123,49,Anonano,Lt,3,,,,,,,,,,Anonano,1,4,4,2,0,3,15,417,310,142,45,Anonano,1,4,3,2,0,4,48,448,357,150,42,Anonano,2,3,6,3,0,4,19,614,302,138,53,Anonano,1,4,6,2,0,3,54,553,284,126,29,Anonano,1,4,2,2,0,3,32,314,281,164,43,Anonano,1,4,6,2,0,5,46,698,278,123,44,Anonano,2,3,1,3,0,3,54,372,455,178,41,Anonano,No,0,,,,,,,,,
Ashen,2,3,2,3,0,3,35,256,389,154,33,Ashen,1,4,4,2,0,7,0,555,384,145,32,Ashen,4,1,1,3,0,5,12,260,432,157,24,Ashen,3,2,5,3,0,3,51,386,380,152,32,Ashen,2,3,3,3,0,3,19,257,337,136,33,Ashen,No,0,,,,,,,,,,Ashen,2,3,4,3,0,6,0,372,540,171,29,Ashen,4,1,1,3,0,2,16,50,343,136,24,Ashen,2,3,3,3,0,5,23,317,490,196,47,Ashen,2,3,5,3,0,3,19,375,315,132,38
Ben!,1,4,6,2,0,3,35,552,263,134,48,Ben!,4,1,2,3,0,2,7,305,315,153,33,Ben!,3,2,3,2,0,7,0,756,680,407,31,Ben!,2,3,6,3,0,6,8,576,458,180,28,Ben!,3,,4,3,0,3,0,384,343,148,36,Ben!,4,1,5,3,0,2,28,392,301,134,45,Ben!,4,1,2,3,0,2,58,275,330,127,31,Ben!,2,3,2,3,0,4,36,374,463,172,30,Ben!,4,1,1,3,0,2,24,147,351,133,53,Ben!,2,3,2,3,0,5,43,479,407,154,32
Brosafat,1,4,3,2,0,4,24,416,465,197,31,Brosafat,3,2,2,3,0,3,37,322,493,187,35,Brosafat,3,2,2,2,0,7,0,413,471,174,29,Brosafat,4,1,2,3,0,4,57,313,516,208,27,Brosafat,3,2,3,3,0,3,1,321,361,137,41,Brosafat,4,1,0,3,0,1,44,191,267,124,37,Brosafat,1,4,5,2,0,7,0,555,351,172,33,Brosafat,1,4,3,2,0,3,58,310,480,165,31,Brosafat,4,1,1,3,0,2,42,133,393,163,24,Brosafat,1,4,2,1,0,7,0,427,213,203,29
Caceorte,Lt,3,,,,,,,,,,Caceorte,1,4,2,2,0,3,52,303,358,127,26,Caceorte,3,2,1,2,0,7,0,360,325,172,24,Caceorte,2,3,3,3,0,5,2,422,408,155,26,Caceorte,3,2,2,3,0,4,19,228,401,167,22,Caceorte,2,3,3,3,0,2,52,196,310,120,24,Caceorte,4,1,0,3,0,6,2,180,468,148,16,Caceorte,1,4,3,1,0,3,45,316,346,184,31,Caceorte,1,4,6,2,0,3,38,360,372,198,38,Caceorte,4,1,1,3,0,2,10,126,329,128,27
CrunX,4,1,2,3,0,3,8,196,385,146,32,CrunX,4,1,2,3,0,2,20,286,228,105,40,CrunX,1,4,3,2,0,4,11,346,329,146,34,CrunX,3,2,3,3,0,4,21,456,312,112,41,CrunX,4,1,2,3,0,2,50,281,262,102,34,CrunX,3,2,0,3,0,2,48,145,254,111,23,CrunX,No,0,,,,,,,,,,CrunX,No,0,,,,,,,,,,CrunX,3,2,3,3,0,3,54,483,310,123,43,CrunX,No,0,,,,,,,,,
Dragnmastr,Lt,3,,,,,,,,,,Dragnmastr,2,3,4,3,0,6,36,292,472,201,33,Dragnmastr,4,1,5,3,0,3,5,206,238,187,34,Dragnmastr,2,3,1,3,0,3,36,141,424,144,25,Dragnmastr,No,0,,,,,,,,,,Dragnmastr,2,3,5,3,0,4,19,345,327,127,22,Dragnmastr,2,3,3,3,0,5,23,282,473,167,34,Dragnmastr,4,1,4,3,0,3,32,225,371,173,32,Dragnmastr,4,1,2,3,0,4,12,252,373,152,60,Dragnmastr,No,0,,,,,,,,,
EliteVetrn,3,2,3,3,0,4,21,251,482,207,30,EliteVetrn,1,4,5,2,0,4,10,348,335,150,35,EliteVetrn,4,1,0,3,0,3,7,63,310,174,35,EliteVetrn,4,1,3,3,0,3,47,260,283,104,30,EliteVetrn,2,3,4,3,0,4,34,407,392,146,32,EliteVetrn,4,1,1,3,0,2,46,104,285,108,20,EliteVetrn,4,1,2,3,0,3,14,209,322,116,22,EliteVetrn,3,2,2,3,0,4,11,223,379,141,25,EliteVetrn,4,1,1,3,0,1,58,144,345,155,34,EliteVetrn,2,3,5,3,0,3,40,254,367,148,25
Forcecastr,3,2,3,3,0,2,10,211,301,117,43,Forcecastr,1,4,4,2,0,3,13,358,418,166,26,Forcecastr,2,3,3,3,0,5,47,511,407,137,45,Forcecastr,4,1,1,3,0,2,23,174,260,123,21,Forcecastr,4,1,0,3,0,3,11,274,400,150,34,Forcecastr,2,3,2,3,0,4,9,250,334,156,32,Forcecastr,4,1,1,3,0,3,27,374,315,119,51,Forcecastr,3,2,2,3,0,4,0,371,287,150,32,Forcecastr,2,3,2,3,0,4,37,461,448,153,40,Forcecastr,4,1,4,3,0,2,51,350,226,86,22
GladWillow,Lt,3,,,,,,,,,,GladWillow,4,1,0,3,0,3,6,230,260,121,36,GladWillow,4,1,2,3,0,4,11,175,403,150,22,GladWillow,No,0,,,,,,,,,,GladWillow,4,1,0,3,0,4,5,192,435,157,25,GladWillow,No,0,,,,,,,,,,GladWillow,3,2,1,3,0,3,34,134,313,113,25,GladWillow,No,0,,,,,,,,,,GladWillow,3,2,2,3,0,4,55,272,400,150,38,GladWillow,3,2,1,3,0,3,24,230,319,114,35
Jereden,Lt,3,,,,,,,,,,Jereden,4,1,1,3,0,3,24,285,336,160,33,Jereden,3,2,1,3,0,3,10,162,367,156,21,Jereden,2,3,4,3,0,3,51,509,338,126,39,Jereden,2,3,4,3,0,4,44,535,390,148,38,Jereden,2,3,2,3,0,3,54,299,366,154,34,Jereden,2,3,2,3,0,3,19,316,384,153,35,Jereden,2,3,3,3,0,3,45,409,406,139,38,Jereden,3,2,1,3,0,3,34,318,454,172,30,Jereden,3,2,2,3,0,4,10,381,412,154,32
KingONerds,3,2,1,3,0,2,57,126,329,167,36,KingONerds,3,2,2,3,0,4,15,241,666,341,33,KingONerds,3,2,2,3,0,3,13,257,447,174,32,KingONerds,1,4,6,2,0,4,37,516,440,183,41,KingONerds,3,2,2,3,0,4,10,338,397,154,31,KingONerds,3,2,1,3,0,3,30,241,314,121,35,KingONerds,2,3,2,2,0,7,0,350,472,169,25,KingONerds,3,2,0,3,0,2,17,144,293,125,33,KingONerds,4,1,3,3,0,2,50,180,302,164,37,KingONerds,3,2,0,3,0,3,21,226,286,106,24
LeonStrife,3,2,2,3,0,2,20,389,349,143,38,LeonStrife,4,1,2,3,0,2,56,300,525,223,26,LeonStrife,1,4,3,2,0,3,26,379,343,145,36,LeonStrife,1,4,5,3,0,3,51,491,443,149,37,LeonStrife,3,2,0,3,0,3,13,292,421,142,27,LeonStrife,4,1,1,3,0,2,42,240,334,130,41,LeonStrife,3,2,3,3,0,6,34,655,454,184,29,LeonStrife,1,4,6,2,0,4,36,542,329,118,36,LeonStrife,1,4,5,2,0,3,28,473,240,134,43,LeonStrife,3,2,2,3,0,3,56,327,271,125,33
