1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
XY-10,1,4,2,0,3,29,274,277,145,35,Zenith,2,0,3,1,1,59,162,187,98,43,youngster,2,2,3,0,4,7,467,493,162,29,US8,1,3,2,0,3,0,254,328,151,28,Jasuni,1,2,3,0,4,34,240,390,145,39,Varz,1,2,1,0,4,20,363,228,159,44,REDPANTS,2,1,3,0,3,48,171,515,194,50,KingONerds,1,3,0,1,3,2,337,134,134,36
Force,1,2,1,1,3,29,364,172,93,46,SOTRH,1,3,2,0,3,31,295,233,122,35,Samoose,1,4,2,0,4,9,482,390,175,39,NoTAP,1,2,2,0,3,0,209,228,119,41,Sharknado,2,2,3,1,2,28,224,267,90,25,NOTAP,2,1,3,0,2,34,119,306,140,43,Pawn,2,2,3,0,4,7,293,392,160,50,BookWyrm,2,0,3,0,1,5,95,229,118,21
Zenith,2,1,3,0,3,29,143,324,127,26,ZERO,1,1,1,1,3,31,178,133,133,33,ZERO,1,2,1,0,4,9,342,313,147,43,SOTRH,2,2,3,1,3,0,334,411,157,40,TAG,2,2,3,0,4,35,356,401,193,43,Zenith,1,4,1,1,4,20,303,272,174,35,PLSNERF,1,3,2,0,4,7,397,297,189,43,Pawn,2,1,3,0,3,2,205,366,144,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDPANTS,1,2,3,0,2,16,335,250,142,41,FRED,1,3,2,0,2,17,352,268,126,36,marcman!,2,1,3,0,2,57,271,364,135,45,RABBITEARD,1,3,3,0,4,5,423,375,148,40,Ben,1,2,3,0,2,2,188,288,114,32,Szeth,1,1,3,0,3,1,246,369,150,34,Nemesis,1,5,2,0,2,58,301,320,145,46,Nemesis,2,3,3,1,2,58,302,516,172,32
Nemesis,1,4,2,0,2,47,303,271,128,41,BRIAN,1,3,1,0,2,17,174,198,113,32,Pawn,1,2,1,0,2,55,325,170,98,37,REDPANTS,2,4,3,0,4,31,498,315,118,42,KingONerds,1,3,2,0,2,49,339,281,155,40,Fox,2,3,3,0,3,13,285,415,157,26,XY-10,2,2,3,1,2,58,366,280,115,44,Player 2,2,0,3,0,2,35,74,465,160,22
Taiyo,2,2,3,0,2,47,258,339,134,42,SHPENNY,2,1,2,0,2,9,178,205,108,44,Sharknado,2,2,3,0,2,42,180,324,141,27,Samoose,1,3,2,0,4,31,250,420,174,42,Fox,2,4,3,0,2,23,462,327,140,47,Ben,1,4,2,0,4,24,649,433,214,43,SOTRH,2,3,3,0,2,55,337,235,107,46,MM500,1,2,1,1,2,58,418,301,207,46
SOTRH,2,3,3,0,2,34,223,304,124,51,MX,2,2,4,0,2,17,264,344,127,36,XY-10,1,4,3,1,2,55,412,382,135,39,Zenith,2,1,3,0,3,30,180,347,163,32,SOTRH,2,1,3,1,2,49,153,320,144,37,Samoose,2,2,3,1,4,24,450,464,209,37,LalafellPrincess,1,0,3,0,2,55,170,407,163,34,Borkins,1,3,3,0,2,58,442,350,153,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasuni,1,2,1,0,2,39,138,145,145,50,XY-10,2,1,3,0,4,4,303,470,203,36,RABBITEARD,2,1,3,0,2,32,149,302,121,25,JMZ,1,3,2,0,3,22,271,236,100,35,MM500,1,1,2,0,3,0,342,351,138,38,Sharknado,2,1,3,0,3,37,198,407,157,26,KingONerds,1,4,2,1,3,43,581,320,146,56,JMZ,2,1,3,1,2,25,125,337,127,26
