1,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,2,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,3,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,4,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,5,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,6,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,7,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,8,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent,9,Pos,K,D,SD,Min,Sec,DmgG,DmgR,PkD,HitPercent
Szeth,3,3,3,0,3,32,217,372,145,35,marcman!,2,3,3,0,5,18,300,329,152,23,Precision,1,6,1,0,6,6,533,176,148,36,Force,3,3,3,0,2,25,319,185,73,35,Precision,1,6,2,0,5,37,580,347,163,55,STABBY_M,3,1,3,0,3,46,308,401,139,30,US8,3,1,3,0,3,32,225,313,117,32,Zero,1,3,2,0,3,27,219,320,145,35,AnimeFreak,3,4,3,0,6,59,523,509,170,43
Fox,4,2,3,0,3,31,309,386,154,37,Force,1,6,2,0,5,18,492,354,161,31,KingONerds,3,2,3,0,2,9,182,278,125,35,thread.spk,1,3,2,0,4,13,366,211,118,43,GLORFINDEL,4,2,3,0,2,38,163,374,140,37,PLSNERF,1,6,2,0,4,11,537,324,152,38,Sharknado,4,0,3,0,2,24,169,329,120,21,Sharknado,3,0,3,0,3,0,396,356,159,36,Kronos,1,3,2,0,6,59,507,511,205,31
King,3,1,3,0,4,15,278,360,140,34,Zero,3,1,3,0,4,37,299,336,128,35,Zero,2,1,3,0,6,6,211,391,139,19,Elegance,2,2,3,0,4,13,156,359,150,25,Nemesis,2,0,3,0,5,37,423,541,243,50,KingONerds,2,2,3,0,4,11,245,404,183,28,Precision,1,6,1,0,3,44,419,192,148,44,Nemesis,4,5,3,0,2,21,417,338,155,56,SOTRH,4,3,3,0,5,48,317,401,159,29
CDJ,2,2,3,0,3,2,292,366,127,40,XY-10,2,3,3,0,5,36,378,536,210,34,STABBY_M,3,2,3,0,4,31,424,397,148,28,KingONerds,4,3,3,0,2,25,300,386,0,32,STABBY_M,3,3,3,0,5,10,469,439,212,44,Vars,4,2,3,0,3,21,232,298,134,43,CDJ,2,3,3,0,3,44,313,353,132,29,Force,2,3,3,0,3,27,307,334,120,36,Elite V,2,0,2,0,6,59,441,496,211,24
KingONerds,1,5,1,0,3,2,407,294,185,50,Elegance,4,1,3,0,3,3,266,324,123,29,JediMaster,1,8,2,0,5,6,337,426,162,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben,2,3,3,0,2,56,416,351,125,34,Fox,1,4,2,0,5,36,450,528,193,27,Samoose,4,0,3,0,2,59,266,260,99,31,PLSNERF,3,4,3,0,4,1,450,392,169,33,US8,2,2,3,0,6,1,408,458,171,27,thread.spk,2,5,3,0,5,19,339,367,155,46,Player 1,2,2,3,0,3,25,269,316,156,0,Samoose,1,4,1,0,3,45,608,294,198,40,Fox,2,0,0,0,0,0,260,403,150,26
Precision,1,4,1,0,2,56,394,197,197,42,KingONerds,3,3,3,0,5,6,575,344,141,39,US8,2,1,3,0,5,6,288,448,191,26,Zero,2,0,3,0,5,18,320,457,184,38,STABBY_M,4,2,3,0,2,31,196,401,151,29,Samoose,4,1,3,0,3,29,368,316,134,48,PLSNERF,1,6,2,0,3,25,583,311,145,41,CDJ,2,3,3,0,3,45,101,432,165,22,Samoose,1,0,0,0,0,0,303,297,138,25
MM500,1,2,2,0,5,30,472,316,105,31,FRISBEE,3,2,3,0,2,34,257,330,128,50,XY-10,4,2,3,0,2,21,231,285,147,44,AnimeFreak,4,1,3,0,3,11,285,372,164,33,Samoose,1,4,2,0,6,1,496,343,149,35,Zero,3,2,3,0,4,5,287,395,157,38,SOTRH,3,1,3,0,2,45,195,314,149,31,Phoenix,,,,,,,,,,,Zenith,4,0,0,0,0,0,240,334,119,28
Force,1,6,2,0,3,45,311,271,94,32,MM500,2,3,3,0,2,41,302,302,104,50,GLORFINDEL,1,4,2,0,3,28,335,350,217,32,LeonStrife,1,6,2,0,5,18,542,454,201,34,Elite V,3,3,3,0,4,47,428,393,154,24,Vars,1,3,2,0,5,19,439,428,207,36,Vars,3,2,3,0,2,45,217,465,176,39,Player 4,,,,,,,,,,,marcman!,3,0,0,0,0,0,289,309,126,44
thread.spk,1,3,1,0,6,3,487,245,122,37,JediMaster,1,4,2,0,2,41,352,270,156,42,Fox,2,5,3,0,3,28,418,356,136,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US8,3,1,3,0,3,40,354,322,118,39,Elite V,4,2,3,0,2,8,148,236,123,35,STABBY_M,4,3,3,0,2,51,241,332,129,23,King,3,3,3,0,3,8,345,392,175,37,PLSNERF,2,2,2,0,6,12,330,365,141,20,MM500,2,4,3,0,5,15,405,366,150,31,Zenith,3,3,3,0,2,50,144,442,188,23,STABBY_M,4,1,3,0,2,13,188,323,125,27,Szeth,2,6,3,0,4,17,323,399,146,38
Nemesis,3,2,3,0,2,58,343,280,117,46,STABBY_M,4,5,3,0,3,40,442,323,123,39,Samoose,1,4,2,0,5,44,577,391,117,38,Sharknado,4,2,3,0,2,35,193,334,131,36,CDJ,4,0,3,0,4,37,117,311,142,18,Precision,1,4,2,0,5,15,545,242,165,45,Ben,2,2,3,0,3,22,392,331,145,36,PLSNERF,1,4,2,0,3,19,297,321,152,37,JediMaster,4,1,3,0,3,7,299,328,139,36
